id,name,sex,type,age,
Musk,Elon Musk,1,1,3,
Shotwell,Gwynne Shotwell,2,1,4,
Königsmann,Hans Königsmann,1,1,4,
Blackmore,Lars Blackmore,1,1,99,
Mueller,Tom Mueller,1,1,99,
Jurvetson,Steve Jurvetson,1,1,99,
Johnsen,Bret Johnsen,1,1,99,
Harris,David Harris,1,1,99,
Cooper,Patricia Cooper,2,1,4,
Gower,Brian Gower,1,1,3,
Dunn,Mathew Dunn,1,1,4,
Bjelde,Brian Bjelde,1,1,4,
Hofeller,Jonathan Hofeller,1,1,3,
SpaceX,SpaceX Raumfahrt,99,2,99,
NASA,Nasa Raumfahrt,99,2,99,
CNES,Centre national d’études spatiales,99,2,99,
RKK,RKK Energija,99,2,99,
LSA,Launch Services Alliance,99,2,99,
FAA,US-Luftfahrtbehörde,99,2,99,
Tesla,Tesla,99,2,99,e
