from,to,position,time,activ 
Musk,SpaceX,1,3,1
Shotwell,SpaceX,2,3,1
Königsmann,SpaceX,3,2,1
Blackmore,SpaceX,4,2,1
Shotwell,nasa,6,99,2
Shanklin,SpaceX,5,3,1
Blackmore,nasa,4,99,2
,,,,
Mueller,SpaceX,3,3,2
Jurvetson,SpaceX,6,99,1
Johnsen,SpaceX,5,3,1
Harris,SpaceX,5,2,1
Cooper,SpaceX,3,2,1
Gower,SpaceX,5,1,1
Dunn,SpaceX,5,3,1
Hofeller,SpaceX,3,3,1
Bjelde,SpaceX,3,3,1
Bjelde,nasa,4,1,2
Woerner,esa,1,2,1
Ongaro,esa,2,1,1
Parker,esa,2,1,1
Westgaver,esa,2,2,1
Neuenschander,esa,2,1,1
Aschbacher,esa,2,1,1
Ehrenfreund,dlr,5,99,1
Hamacher,dlr,5,99,1
Lemmer,dlr,1,99,1
Dittus,dlr,1,99,1
Henke,dlr,1,99,1
Pelzer,dlr,1,99,1
Campbell,csa,1,1,1
Buckley,csa,2,3,1
Bridenstine,nasa,5,99,1
Tu,nasa,5,99,1
Sherman,nasa,5,99,1
Zurbuchen,nasa,5,99,1
Reuter,nasa,5,99,1
Martin,nasa,5,99,1
Warkins,nasa,5,99,1
Geyer,nasa,5,99,1
Gibbs,nasa,5,99,1
Morhard,nasa,5,99,1
Gilbrech,nasa,5,99,1
Khan,SpaceX,3,99,1
